id,content,usages,type,source
22,"As I look down the stairs I see Aaron, but it does not look like Aaron or feel like Aaron. He is unrecognizable.",16,0,Whitmore Mansion
16,"Aaron now returns, and I begin forcefully pushing him into the room with the spirit board.",16,0,Mountain Oaks Mayhem
118,The mob can turn on you on a [bleep] dime.,14,3,The Riviera Hotel
4,I want Aaron to go into this crawlspace by himself.,16,0,
152,"This is like some type of dark tentacle of some type of spiritual creature, entity. And this was in your bedroom.",14,3,Emergency in Elk Grove
67,"Dude, are you kidding me?!",14,3,
40,I'm suddenly feeling angry and aggressive...,21,2,
71,"There''s an ice-cold mass right here, FEEL!",14,3,
41,I can feel the fear all around me.,21,2,
12,"Much to Aaron''s delight, I am locked down in the dark.",16,0,Battle of Los Angeles
2,"Aaron, go lock yourself in the basement!",16,0,
24,"Aaron, I want you to lay down on the futon.",16,0,Crisis in Long Beach (House Calls)
149,"I can feel you, we can feel you, my friend Aaron and I.",14,3,Territorial Enterprise
209,"Capturing ground-breaking proof... [of how to pronounce '"mercury'".](https://www.youtube.com/watch?v=mjhBo0u6-wU)",3,4,
210,"There are things in this world we will never fully understand... [like how to pronounce '"mercury'".](https://www.youtube.com/watch?v=mjhBo0u6-wU)",3,4,
7,Don't let Aaron out of the basement until I say so!,16,0,
26,"Aaron, lay in the bed, would you?",16,0,Mayhem in Marquette (House Calls)
6,"I believe that a spirit is strongly attracted to Aaron, because he is showing the most fear.",16,0,
30,"If there''s something to know about our good friend Aaron Goodwin, is he''s the clumsiest guy that we know.",16,0,Chaos in Emmaus (House Calls)
47,Did someone just scratch me?!,14,3,The show's old intro
74,It's icy cold all around me!,14,3,
44,I'm having a little bit of residual feelings.,21,2,The Great Saltair Curse
38,"I feel intense anger towards Billy, stay back!",21,2,
113,Don't ever lunge for a donkey's ass.,14,3,Yorktown Hospital
77,The hearing in the left side of my face went numb.,14,3,
37,I'm feeling an uncontrollable rage coming over me.,22,2,
168,This is one of the most intense experiences of my life.,14,3,LA Police Station Invasion
60,Do you wanna tickle my big ol' long toes?,14,3,
207,There is no relaxation.,14,3,
69,DUDE WHAT WAS THAT?!,14,3,
8,Look at Aaron's arm hair!,16,0,
80,I just felt an unnatural shift in the energy.,14,3,
3,I decided that I'm gonna lock Aaron in here alone.,16,0,
79,"Guys, I''m being affected!",14,3,
23,"Aaron starts to leave us, and it makes me angry.",17,0,Petrified in Pahrump
73,Feel this! It's freezing right over here!,14,3,
66,"Bro, are you serious?!",14,3,
11,I just saw Aaron and I wanted to kill him.,17,0,Poveglia Island
132,You know who has experience in guys beds? Nick Groff.,14,3,Olde Fort Erie
276,There is a strange and powerful confusion that is penetrating all of us.,15,3,Los Feliz Murder House Part 1
56,C R E D I B I L I T Y,14,3,
122,I'm not gonna talk to you about what kinda cars I have or what's in my refrigerator.,14,3,
5,"Aaron, get in the bed with me man, and we can feel the vibrations together.",17,0,S09E02
61,NEVER eat a Crockpot of beans before a paranormal investigation.,14,3,
39,I'm feeling so emotional at the moment. I just wanna cry!,21,2,
85,That's a class-A EVP right there!,15,3,
78,There has to be a portal over here!,14,3,
65,OMG DUDE!,14,3,
63,NO WAY BRO!,14,3,
36,I feel an overwhelming sense of sadness.,21,2,
42,"I''m feeling inexplicably uneasy, as if the building is aware of our presence.",22,2,
126,I think our human eyeballs - our living eyeballs - see this town as it is now.,15,3,Apache Junction
117,I love devirginizing places.,14,3,
70,"Dude, is it getting cold in here?!",14,3,
84,This evidence is extremely compelling.,14,3,
87,"That is a crystal-clear, intelligent response.",14,3,
75,"I''ve got goosebumps on my arm, FEEL!",15,3,
175,I have anxiety too. I feel it through this connection.,15,3,Mayhem in Marquette (House Calls)
45,I feel like a spiritual fishing lure that is getting bites from the mean barracuda.,21,2,Letchworth Village
62,BRO!,14,3,
58,Bill Chappell can't give us an explanation.,14,3,The show's intro
83,IT'S CLIMBING UP YOU!,14,3,
68,SHHHHHH! Be quiet! Listen!,14,3,
64,DUDE!,15,3,
76,It's giving me rage!,14,3,
82,"There''s a blinding pain in my back; super, super piercing.",14,3,Lost Souls of the Berkeley
90,A light orb just shot into {author}'s arm!,14,3,
43,I feel physically drained at the moment; the spirits are feeding off my energy.,22,2,
59,You want to pick on someone? Pick on me!,14,3,
158,Just breathe deeply. Let your body become a part of the fabric of this location.,14,3,Montecito Mansion Of Mystery
218,{author} is mocking the Holy Trinity.,58,6,
213,"Did you know that '"situation'" is correctly pronounced '"sid-ju-ation'"?",17,5,
46,I feel like there's something here that wants me to connect with it.,22,2,Petrified in Pahrump
112,Let's just call this a demon spiderweb.,15,3,Letchworth Village
124,This is the part of the Astral plane that contains the most mystery.,14,3,Battle of Los Angeles
174,You guys be careful because that could have been a little imp.,14,3,Crisis in Long Beach (House Calls)
169,You in there? Let's go. Come out of your clothes. Come in here.,14,3,LA Police Station Invasion
96,*{ DEBUNKED }*,14,3,
136,You really don't understand what I experienced when I held that foot in my hand.,14,3,
89,A light anomaly just shot into {author}'s head!,14,3,
266,"Aaron '"voluntarily'" goes into the closet.",16,0,Old Bullion Plaza School
211,"We want answers... [for the pronunciation of '"mercury'".](https://www.youtube.com/watch?v=mjhBo0u6-wU)",3,4,
263,I just felt wind.,14,3,Old Bullion Plaza School
91,A ball of light just shot into {author}'s chest!,14,3,
125,I'm the official brothel inspector.,14,3,Apache Junction
162,I lost my breath. I got really lightheaded right here.,14,3,Whitmore Mansion
147,I feel like I have a weird connection to Mark Twain.,14,3,Territorial Enterprise
106,This is the actual bullet hole. Of the bullet.,14,3,Gettysburg
93,BRO! A mass of static energy just shot through my body!,14,3,
200,"Well, I hate slavery.",15,3,
119,That was the most romantic paranormal experience interview I've ever done.,14,3,Hellfire Caves
215,"Dude! It''s supposed to be spelled as '"sidjuation'".",17,5,
108,"I just felt something grab my ass... like, hard, Nick! Hard, I could feel like this on my-on my BUTT!",14,3,Gettysburg
204,Are the ghosts mistaking Aaron's digital recorder for a bomb!?,14,3,Kell's Irish Pub Restaurant
141,It's pitch darkness.,15,3,The Great Saltair Curse
170,That's exactly what she said.,14,3,Petrified in Pahrump
178,"We don''t call this ghost hunting, even in jest.",14,3,I am Haunted: Living Life Through the Dead (Book)
133,It just feels like these raindrops are the tears of the orphans that came here.,15,3,Twin Bridges Orphanage
165,"As soon as I step foot in this room, I am overwhelmed by an aggressive energy that feels like it''s circling around me.",14,3,LA Police Station Invasion
205,Do these people know they're being sandwiched between 2 layers of demonic energy?,14,3,Kell's Irish Pub Restaurant
98,I just received a massive EMF spike.,14,3,Lost Souls of the Berkeley
95,We could not debunk this as being some kind of insect.,14,3,
163,What are we feeling? You know that we're feeling you.,15,3,Whitmore Mansion
146,They're pulling the heat from around me - the thermal heat energy.,15,3,Terror at the Toy Shop
137,This is the first time I've ever heard of a West African Nail Fetish Hate God!,14,3,
130,Being scalded by that pot sticker has jolted my mind back to the task at hand.,14,3,Chinese Town of Locke
160,"Right now, the entire house is complete dark.",14,3,Montecito Mansion Of Mystery
199,There is not good vibes in here. At all.,14,3,
153,It was a blight or right blight bright light white.,15,3,Emergency in Elk Grove
171,"As Billy feels a bad vibe, this anomaly shoots behind him.",15,3,Petrified in Pahrump
97,*\* Unexplained noises \**,15,3,
88,I saw a dark mist with my own eyes!,14,3,
206,"We''re here, and yes, I am provoking.",14,3,
57,"Our credi-bili-ty, our reputation.",15,3,The show's intro
212,"I can''t give you an explanation... [of the pronunciation of '"mercury'".](https://www.youtube.com/watch?v=mjhBo0u6-wU)",4,4,
81,"Ooh, I just got frozen!",14,3,Lost Souls of the Berkeley
131,"Aaron and I are white, but we''re not a threat to you.",14,3,Chinese Town of Locke
94,THERE'S A TEENY TINY FIGURE ON MY RECORDER!,14,3,
116,"We''re not here for beauty, we''re here for darkness.",14,3,
144,This costume shop just got a hell of a lot more [bleep] creepy.,15,3,Terror at the Toy Shop
219,You're mocking the Holy Trinity by saying the number '3'.,57,6,
216,"Bro! Please correct your spelling of '"sidjuation'".",17,5,
166,"I am hot, but right now, my legs are chilling up.",14,3,LA Police Station Invasion
86,That was one of the most chilling EVPs we've ever captured.,14,3,Lost Souls of the Berkeley
120,"His heart was stolen. Not by a girl, his physical heart.",14,3,Hellfire Caves
115,I've never never felt emotions.,14,3,Kentucky Slave House
176,This is why I wanted to send somebody in solo. We need to examine that lamp.,14,3,
127,I have hydrogen in my farts.,14,3,Apache Junction
121,"Ultraviolet lights are purple, because they are that color.",14,3,
111,"In the middle of an interview, you never just get up, fart, or run away. As long as we get them things out of the way, we can continue, sir.",14,3,Letchworth Village
129,"I''m a funny guy, you know? I like to laugh... play games... if that''s alright...",14,3,
92,I just saw a dark shadow figure behind you!,14,3,
188,"In the dream, I killed people knowing that it wasn''t morally wrong.",14,3,I am Haunted: Living Life Through the Dead (Book)
161,"As I always say, these locations that we investigate, we don''t find them... they find us.",14,3,Mountain Oaks Mayhem
140,Are you making me angry? Are you giving me aggression?,14,3,The Great Saltair Curse
217,"I will lock you in the basement alone if you misspell '"sidjuation'" again!",17,5,
262,What's happening right now is very chilling.,14,3,Henderson Hell House
21,"Are you just pressing on my chest? Because you don''t want me up here, right? I don''t like that... Aaron, get up here.",17,0,Whitmore Mansion
135,I can hear you mumbling and saying things that are annoying me.,15,3,
208,Do you want to come play with my balls?,15,3,Stone Lion Inn
54,Capturing ground-breaking proof of the paranormal.,14,3,The show's intro
53,We have worked years to build our credibility... our reputation...,14,3,The show's intro
18,Aaron has a strong feeling to go to the basement with the Polterpod.,16,0,Whitmore Mansion
156,"If I could say this humbly, but also confidently: we specialize in ghost communication.",14,3,Return to the Riviera
186,I'm NOT one of those goons with fame-injected egos who are cast in a show for a season or two and think they know everything about ghosts.,14,3,I am Haunted: Living Life Through the Dead (Book)
269,"Once again, I''m not feeling like myself.",21,2,Acadia Ranch Sanitorium
195,The Devil: just leave him alone.,14,3,I am Haunted: Living Life Through the Dead (Book)
10,"Aaron, I want you to go into the ladies'' room.",17,0,Lost Souls of the Berkeley
